year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1933,,,,,,,,,39,0,39,0,39,0,39,0,,,39,0,39,0,,,39,0,,,38.553,0,38.553,0
1934,,,,,,,,,43,0,43,0,44,0,44,0,,,44,0,44,0,,,44,0,,,43.473,0,43.473,0
1935,,,,,,,,,42,0,42,0,42,0,42,0,,,42,0,42,0,,,42,0,,,42.38,0,42.38,0
1936,,,,,,,,,42,0,42,0,42,0,42,0,,,43,0,42,0,,,43,0,,,42.493,0,42.493,0
1937,,,,,,,,,40,0,40,0,40,0,40,0,,,40,0,40,0,,,40,0,,,39.626,0,39.626,0
1938,,,,,,,,,42,0,42,0,42,0,42,0,,,42,0,42,0,,,42,0,,,42.163,0,42.163,0
1939,,,,,,,,,42,0,42,0,42,0,42,0,,,42,0,42,0,,,42,0,,,42.448,0,42.448,0
1940,,,,,,,,,44,0,44,0,44,0,44,0,,,44,0,44,0,,,44,0,,,43.6,0,43.6,0
1941,,,,,,,,,41,0,42,0,42,0,42,0,,,42,0,42,0,,,42,0,,,41.5,0,41.5,0
1942,,,,,,,,,46,0,46,0,46,0,46,0,,,46,0,46,0,,,46,0,,,45.9,0,45.9,0
1943,,,,,,,,,69,0,69,0,69,0,69,0,,,69,0,69,0,,,69,0,,,69.2,0,69.2,0
1944,,,,,,,,,86,0,86,0,86,0,86,0,,,86,0,86,0,,,86,0,,,86.4,0,86.4,0
1945,,,,,,,,,104,0,104,0,104,0,104,0,,,104,0,104,0,,,104,0,,,103.9,0,103.9,0
1946,,,,,,,,,106,0,106,0,106,0,106,0,,,106,0,106,0,,,106,0,,,106.1,0,106.1,0
1947,,,,,,,,,94,0,94,0,94,0,94,0,,,94,0,94,0,,,94,0,,,93.9,0,93.9,0
1948,,,,,,,,,82,0,82,0,82,0,82,0,,,82,0,82,0,,,83,0,,,82.6,0,82.6,0
1949,,,,,,,,,77,0,77,0,77,0,77,0,,,77,0,77,0,,,78,0,,,77.5,0,77.5,0
1950,,,,,,,,,78,0,79,0,79,0,79,0,,,79,0,79,0,,,79,0,,,78.6,0,78.6,0
1951,,,,,,,,,65,0,66,0,66,0,66,0,,,66,0,66,0,,,66,0,,,65.5,0,65.5,0
